n,name,enname,jpname,text,colorscheme,Moldbreaker,gen,对战外,对战中,Skillswap,Trace,Change,Noability,Entry,Transform,oldname
5%
5%
5%
5%
5%
5%






1%
3%
3%
3%
3%
5%
5%
5%






1%
1%
1%
1%
3%
6%
8%
10%






1%
1%
1%
1%
1%
1%
1%
1%






1%
1%
1%
1%
1%
1%
1%
1%






1%
1%
1%
1%
1%
1%
1%
1%






1%
1%
1%
1%
1%
1%
1%
1%






1%
1%
1%
1%
1%
1%
1%
1%","第三世代、第四世代对战中该特性无效。
第五世代起当自己没有携带物品时，回合结束后获得在自己的非远程招式攻击范围内，对方宝可梦或同伴宝可梦於該回合使用或投掷而消耗的携带物品。如果回合内对手宝可梦与同伴宝可梦均使用了道具，优先获得对手的道具。
同一回合内离场或陷入濒死的宝可梦用掉的道具无法被捡拾，即使在該回合内又重新上场。
被烧尽，啄食，虫咬，拍落的道具无法被捡拾，因受到攻击而破裂的气球无法被捡拾。",,,,,,,
13,无关天气,Cloud Nine,ノーてんき,任何天气的影响都会消失。,天空,,3,,拥有该特性的宝可梦在场时，任何天气造成的影响无效。天气并不会消失。,,,,,yes,,
70,日照,Drought,ひでり,出场时，会将天气变为晴朗。,火,,3,,"当該寶可夢登场时，天气转为大晴天并持续5回合。
在携带了道具炽热岩石的情况下，大晴天会持续8回合。
在大雨、大日照和乱流天气下，特性发动失败。
如果有多只拥有可更换天气特性的宝可梦同时登场，那么将会按照宝可梦的速度依次发动特性改变天气，后者覆盖前者。发动失败的情况下除外。",,,,,yes,,
48,早起,Early Bird,はやおき,即使变为睡眠状态，也能以２倍的速度提早醒来。,清晨,,3,,"该特性的宝可梦陷入睡眠的持续回合变为原来的一半。例如如果原本睡眠状态会持续3回合时变为1回合，原本持续1回合的话会立刻清醒。
由于自身陷入睡眠也同样有效。",,,,,,,
7,柔软,Limber,じゅうなん,因为身体柔软，不会变为麻痹状态。,电,,3,,该特性的宝可梦不会陷入麻痹状态，陷入麻痹的宝可梦获得该特性时麻痹状态消除。,,,,,,,
57,正电,Plus,プラス,出场的伙伴之间如果有正电或负电特性的宝可梦，自己的特攻会提高。,红宝石,y,3,,"场上己方同伴具有正电或负电特性时，特攻能力×1.5。
磁场操控可令己方所有特性为正电或负电的宝可梦的防御和特防分别提升1级。辅助齿轮可令己方所有特性为正电或负电的宝可梦的攻击和特攻分别提升1级。",,,,,,,
62,毅力,Guts,こんじょう,如果变为异常状态，会拿出毅力，攻击会提高。,攻击,,3,,"该特性的宝可梦处于除濒死以外的异常状态时，攻击提升50%，并无视灼伤的攻击变为原本的50%效果。
该特性的宝可梦被冰冻时使用解除冰冻状态的招式，攻击不会提升。",,,,,,,
38,毒刺,Poison Point,どくのトゲ,有时会让接触到自己的对手变为中毒状态。,毒,,3,,"使用接触类招式攻击该特性的宝可梦时会有30%的机率中毒。
对于拥有该特性的宝可梦使用连续招式，每次中毒几率分开计算。",,,,,,,
76,气闸,Air Lock,エアロック,所有天气的影响都会消失。,飞行,,3,,拥有该特性的宝可梦在场时，任何天气造成的影响无效。天气并不会消失。,,,,,yes,,
41,水幕,Water Veil,みずのベール,将水幕裹在身上，不会变为灼伤状态。,水,y,3,,该特性的宝可梦不会陷入灼伤状态。当灼伤状态的宝可梦获得该特性时灼伤状态会被治愈。,,,,,,,
64,污泥浆,Liquid Ooze,ヘドロえき,吸收了污泥浆的对手会因强烈的恶臭而受到伤害，减少ＨＰ。,毒,y,3,,,,,,,,,
71,沙穴,Arena Trap,ありじごく,在战斗中让对手无法逃走。,地面,,3,如果把拥有该特性的宝可梦放置在同行宝可梦的首位，遇到野生宝可梦的机率提高至2倍。,主頁面：无法逃走（状态）使对方所有非幽灵属性的地面上的宝可梦处于无法逃走状态，不能替换或逃走。,,,,,,,
8,沙隐,Sand Veil,すながくれ,在沙暴的时候，闪避率会提高。,地面,y,3,当该特性的宝可梦配置在同行宝可梦首位时，沙暴天气下野生宝可梦出现机率减少50%。,在沙暴天气中闪避率提升20%，并且不会受到沙暴天气损失体力的影响。,,,,,,,
55,活力,Hustle,はりきり,自己的攻击变高，但命中率会降低。,攻击,,3,当该特性的宝可梦配置在队伍首位时，出现等级更高的野生宝可梦机率提升50%。,攻击提升为原来的1.5倍，物理招式的命中率×0.8。,,,,,,,
6,湿气,Damp,しめりけ,通过把周围都弄湿，使谁都无法使用自爆等爆炸类的招式。,水,y,3,,当该宝可梦在场时，自爆、大爆炸、惊爆大头和薄雾炸裂会使用失败，引爆特性不发动。,,,,,,,
67,激流,Torrent,げきりゅう,ＨＰ减少的时候，水属性的招式威力会提高。,水,,3,,当ＨＰ小于1⁄3时，水屬性招式的威力增长为1.5倍。,,,,,,,
49,火焰之躯,Flame Body,ほのおのからだ,有时会让接触到自己的对手变为灼伤状态。,火,,3,"当该特性的宝可梦在队伍首位时，队伍中蛋孵化的速度提高为原来的2倍。
此效果不会与自身、熔岩铠甲或蒸汽机叠加，但是它会与释出之力、O力量或孵蛋碰碰叠加。","使用接触类招式攻击该特性的宝可梦时会有30%的机率灼伤。
连续招式的每一击都会单独触发该特性。",,,,,,,
40,熔岩铠甲,Magma Armor,マグマのよろい,将炽热的熔岩覆盖在身上，不会变为冰冻状态。,火,y,3,"当该特性的宝可梦在队伍时，队伍中蛋孵化的速度提高为原来的2倍。
此效果不会与自身、火焰之躯或蒸汽机叠加，但是它会与释出之力、O力量或孵蛋碰碰叠加。",该特性的宝可梦不会陷入冰冻状态。,,,,,,,
66,猛火,Blaze,もうか,ＨＰ减少的时候，火属性的招式威力会提高。,火,,3,,当ＨＰ小于1⁄3时，火屬性招式的威力增长为1.5倍。,,,,,,,
74,瑜伽之力,Pure Power,ヨガパワー,因瑜伽的力量，物理攻击的威力会变为２倍。,攻击,,3,,使用非固定伤害类物理招式的伤害提升为原来的2倍。,,,,,,,
73,白色煙霧,White Smoke,しろいけむり,被白色烟雾保护着，不会被对手降低能力。,火,y,3,当该特性的宝可梦配置在队伍首位时，野生宝可梦出现机率减少50%。,"在通常情况下，能力不会被对方及同伴的招式和特性降低（例如招式鬼面、特性威吓等）。
白色烟雾特性不能阻止以下能力的降低方式：
自身使用降低自身能力的招式：蛮力、臂锤等；
自身携带降低能力的道具：黑色铁球等；
降低能力的异常状态：麻痹、灼伤；
与对方平分能力的招式：防守平分、力量平分；
与对方交换能力的招式：心灵互换、防守互换、力量互换；
与同行宝可梦传递能力的招式：接棒；
改变能力的招式：颠倒；
无视白色烟雾的特性：破格、涡轮火焰、兆级电压。",,,,,,,
75,硬壳盔甲,Shell Armor,シェルアーマー,被坚硬的壳保护着，对手的攻击不会击中要害。,水,y,3,,不会被击中要害，即使是必定命中要害的招式也不會击中要害。,,,,,,,
42,磁力,Magnet Pull,じりょく,用磁力吸住钢属性的宝可梦，使其无法逃走。,钢,,3,当该特性的宝可梦配置在队伍首位时，如果所在区域存在野生的钢属性宝可梦，出现钢属性野生宝可梦的几率上升50%。,主頁面：无法逃走（状态）使对方非幽灵属性的钢屬性宝可梦进入无法逃走状态，无法替换或逃走。,,,,,,,
25,神奇守护,Wonder Guard,ふしぎなまもり,不可思议的力量，只有效果绝佳的招式才能击中。,幽灵,yes,3,,"如果招式对拥有该特性的宝可梦不能产生效果绝佳，则招式对该特性的宝可梦没有伤害。
例如：脱壳忍者（虫幽灵）会被以下属性效果绝佳招式受到伤害：飞行岩石幽灵火恶，那么除了这些属性以外，其他所有攻击招式都无法对脱壳忍者造成攻击伤害。
对于无法产生伤害的攻击招式，其追加效果也无法发动。
不能防止挣扎的伤害、混乱状态下对自己的伤害。各种非直接伤害效应也不能防止。例如灼伤、冰雹、沙暴。
该特性只能通过复制特性复制，不能通过扮演招式或化学之力、接球手等特性复制。",no,yes,yes,yes,no,yes,
,神奇鱗片,Marvel Scale,ふしぎなうろこ,如果变为异常状态，神奇鳞片会发生反应，防御会提高。,美丽,y,3,,异常状态时防御上升为原来1.5倍。,,,,,,,
24,粗糙皮肤,Rough Skin,さめはだ,受到攻击时，用粗糙的皮肤弄伤接触到自己的对手。,龙,,3,,"受到接触类招式攻击时对手会损失最大体力的1⁄8。
连续招式的每一击都会触发此特性。
有粗糙皮肤特性的宝可梦使用守住并被攻击方使用Ｚ招式攻击时，粗糙皮肤特性不会发动。",,,,,,,
39,精神力,Inner Focus,せいしんりょく,拥有经过锻炼的精神，而不会因对手的攻击而畏缩。对威吓也毫不动摇。,超能力,y,3,,"该特性的宝可梦不会陷入畏缩状态。破格、兆级电压和涡轮火焰特性的宝可梦仍能使该特性的宝可梦畏缩。获得该特性并不能解除畏缩状态。
该特性不受威吓影响。",,,,,,,
5,结实,Sturdy,がんじょう,在ＨＰ全满时，即使受到招式攻击，也不会被一击打倒。一击必杀的招式也没有效果。,防御,yes,3,,"一击必杀招式对拥有该特性的寶可夢无效。
拥有该特性的寶可夢在满ＨＰ状态下受到一次攻击时，至少会保留1点ＨＰ。
受到连续招式时，第一次攻击就会使结实特性发动或不再满足发动条件，无法对后续攻击生效。
无法抵御造成自身陷入濒死状态的招式所导致的自身濒死效果。
无法阻止同命状态生效。该特性的宝可梦携带气势披带受到了一击被击倒的招式，优先触發结实特性的效果，不会消耗气势披带。
该特性的宝可梦受到过伤害后，如果HP回复到全满，能够再次触发特性。",,,,,,,
30,自然回复,Natural Cure,しぜんかいふく,回到同行队伍后，异常状态就会被治愈。,回复,,3,对战结束后该特性的宝可梦的异常状态自动解除。,"替换该特性的宝可梦后，异常状态自动解除。
得到该特性的宝可梦替换后，异常状态自动解除。
该特性的宝可梦变为无特性时，异常状态不会解除。",,,,,,,
65,茂盛,Overgrow,しんりょく,ＨＰ减少的时候，草属性的招式威力会提高。,草,,3,,当ＨＰ小于1⁄3时，草屬性招式的威力增长为1.5倍。,,,,,,,
10,蓄电,Volt Absorb,ちくでん,受到电属性的招式攻击时，不会受到伤害，而是会回复。,电,y,3,,"具有该特性的宝可梦不受电屬性招式的影响，当被电属性的招式击中时，回复最大ＨＰ的1⁄4。
该特性只能确保自己不受电属性招式的伤害，不能吸引电属性招式。
可以抵御电属性的变化招式。包括通过其他方式变为电属性的变化招式。
对于连续招式，只会触发1次特性效果。
触发该特性时，与没有效果相同，不会触发招式的附加效果。
该特性的宝可梦无法触发自身携带的充电电池。
该特性的宝可梦进入守住状态无法通过被电属性招式击中回复ＨＰ。",,,,,,,
61,蜕皮,Shed Skin,だっぴ,通过蜕去身上的皮，有时会治愈异常状态。,虫,,3,,在每回合结束时，有1⁄3的几率治愈自身除濒死以外的异常状态。,,,,,,,
,蟲之預感,Swarm,むしのしらせ,ＨＰ减少的时候，虫属性的招式威力会提高。,虫,,3,从《綠寶石》开始，当该特性的宝可梦在同行宝可梦首位时，遇到野生宝可梦的几率提升；在《綠寶石》中更容易听到野生宝可梦的叫声。,当ＨＰ不超过1⁄3时，虫屬性招式的威力增长为1.5倍。,,,,,,,
58,负电,Minus,マイナス,出场的伙伴之间如果有正电或负电特性的宝可梦，自己的特攻会提高。,蓝宝石,y,3,,"场上己方同伴具有负电或正电特性时，特攻能力×1.5。
磁场操控可令己方所有特性为负电或正电的宝可梦的防御和特防分别提升1级。辅助齿轮可令己方所有特性为负电或正电的宝可梦的攻击和特攻分别提升1级。",,,,,,,
23,踩影,Shadow Tag,かげふみ,踩住对手的影子使其无法逃走或替换。,阴影,,3,,主頁面：无法逃走（状态）使对方全部不持有踩影特性的非幽灵属性宝可梦处于无法逃走状态，无法替换或逃走。,,,,,,,
12,迟钝,Oblivious,どんかん,因为感觉迟钝，不会变为着迷和被挑衅状态。对威吓也毫不动摇。,超能力,y,3,,"该特性的宝可梦不会陷入着迷和挑衅状态。陷入此状态的宝可梦获得该特性时此状态消除。
该特性不受威吓影响。",,,,,,,
56,迷人之躯,Cute Charm,メロメロボディ,有时会让接触到自己的对手着迷。,妖精,,3,当该特性的宝可梦配置在队伍首位时，出现的野生宝可梦为异性的机率变为2⁄3，大量出现、隐藏洞穴的宝可梦不受影响。,"异性宝可梦使用接触类招式攻击该特性的宝可梦时会有30%的机率着迷。
连续招式的每一击都会单独触发该特性。
在闖入對戰中，能让入場寶可夢与队首宝可梦性别不同的概率变为50%。",,,,,,,
50,逃跑,Run Away,にげあし,一定能从野生宝可梦那儿逃走。,一般,,3,,在与野生宝可梦对战时，无视对手任何阻挡逃走的效果，必定逃走成功。,,,,,,,
31,避雷针,Lightning Rod,ひらいしん,将电属性的招式吸引到自己身上，不会受到伤害，而是会提高特攻。,电,y,3,"將避雷針特性的寶可夢放在同行寶可夢首位时，宝可梦导航器將能夠接收到更多電話。E
当该特性的宝可梦配置在同行宝可梦首位时，能够提升在野外遭遇电屬性宝可梦的概率。","具有该特性的宝可梦不受电屬性招式的影响，当被电属性的招式击中时，提升1级特攻。
场上所有宝可梦（包括同伴宝可梦）的作用范围为单体选择的电属性招式将强制选择具有该特性的宝可梦为目标。若场上有多只宝可梦拥有此特性，将吸引到速度较高的那个。万众瞩目可以覆盖这个效果。螺旋尾鳍、坚毅、狙击可以无视这个效果。
可以抵御电属性的变化招式。包括通过其他方式变为电属性的变化招式。
对于连续招式，只会触发1次特性效果。
触发该特性时，与没有效果相同，不会触发招式的附加效果。
该特性的宝可梦无法触发自身携带的充电电池。
可以吸引同伴的极巨闪电，即使极巨闪电无法直接对同伴使用。因为等离子浴并不以任何宝可梦为目标，也不直接影响处在场上的宝可梦，所以此招式不会触发避雷针特性。
被同一只电屬性宝可梦击中只提升1级特攻。",,,,,,,
51,锐利目光,Keen Eye,するどいめ,多亏了锐利的目光，命中率不会被降低。,命中,y,3,当该特性的宝可梦配置在同行宝可梦首位时，出现等级更低的野生宝可梦机率降为原来的50%。,"命中率能力变化不会被对方以任何方式降低，无视目标闪避率能力变化的提升。
奇迹皮肤对锐利目光特性的宝可梦无效。",,,,,,,
59,阴晴不定,Forecast,てんきや,受天气的影响，会变为水属性、火属性或冰属性中的某一个。,天空,,3,,"飘浮泡泡的形态与属性根据天气而改变：
在大晴天或大日照时，变为太阳的样子与火屬性；
在下雨或大雨时，变为雨水的样子与水屬性；
在冰雹天气时，变为雪云的样子与冰屬性；
在无关天气或气闸特性宝可梦在场或其他天气时，变为飘浮泡泡的样子与一般屬性。该特性仅当拥有者为飘浮泡泡时有效，当飘浮泡泡失去该特性时形态变回一般屬性的飘浮泡泡的样子。
其他宝可梦对飘浮泡泡使用变身后，会变成飘浮泡泡当前的形态。",,no,,,yes,no,
2,降雨,Drizzle,あめふらし,出场时，会将天气变为下雨。,水,,3,,"当該寶可夢登场时，天气转为下雨并持续5回合。
在携带了道具潮湿岩石的情况下，下雨会持续8回合。
在大雨、大日照和乱流天气下，特性发动失败。
如果有多只拥有可更换天气特性的宝可梦同时登场，那么将会按照宝可梦的速度依次发动特性改变天气，后者覆盖前者。发动失败的情况下除外。",yes,yes,yes,yes,yes,yes,
43,隔音,Soundproof,ぼうおん,通过屏蔽声音，不受到声音招式的影响。,一般,y,3,,"不受声音的招式影响。但隔音特性的宝可梦被接棒传递灭亡之歌状态时，灭亡之歌仍然有效。
可以被同伴的治愈铃声治愈。
魂舞烈音爆可以正常使用，不会受到自身的隔音特性影响。该特性宝可梦不受宝可梦之笛的影响FRLG。",,,,,,,
44,雨盘,Rain Dish,あめうけざら,下雨天气时，会缓缓回复ＨＰ。,水,,3,,在下雨天气时每回合结束回复1⁄16体力。,,,,,,,
9,静电,Static,せいでんき,身上带有静电，有时会让接触到的对手麻痹。,电,,3,当该特性的宝可梦配置在队伍首位时，如果所在区域存在野生的电属性宝可梦，则电屬性野生宝可梦出现机率增加50%。,"使用接触类招式攻击该特性的宝可梦时会有30%的机率麻痹。
连续招式的每一击都会单独触发该特性。",,,,,,,
26,飘浮,Levitate,ふゆう,从地面浮起，从而不会受到地面属性招式的攻击。,飞行,y,3,,"主頁面：地面上的宝可梦拥有该特性的宝可梦免疫地面屬性招式（除了泼沙和千箭齐发），不会受到沙穴特性和毒菱、撒菱、黏黏网和场地型状态等状态变化的影响。拥有该特性的毒屬性的宝可梦无法清除毒菱。
当宝可梦持有道具黑色鐵球，或是宝可梦处于击落、扎根状态，或是场地上存在重力状态时，该特性失效。",,,,,,,
19,鳞粉,Shield Dust,りんぷん,被鳞粉守护着，不会受到招式的追加效果影响。,虫,y,3,,"对手以该特性宝可梦为目标的招式的追加效果不会被触发。包括以毒手产生的追加效果。
该特性不能防止对手提升自己能力的追加效果和极巨招式、超极巨招式的追加效果。
该特性不能防止变化招式（例如麻痹粉、电磁波）的效果。",,,,,,,
60,黏着,Sticky Hold,ねんちゃく,因为道具是粘在黏性身体上的，所以不会被对手夺走。,毒,y,3,"当该特性的宝可梦配置在同行宝可梦首位时，垂钓时宝可梦更容易上钩。
在《晶燦鑽石／明亮珍珠》中，该特性无此效果。","携带物品不会受到其他宝可梦以下招式的影响：
渴望、小偷的夺取；
戏法、掉包的交换；
拍落不會使物品消失，但仍會受到拍落的伤害加成。
虫咬、啄食的消耗。黏着特性不影响附着针。
破格、兆级电压和涡轮火焰影响黏着特性。",,,,,,,
96,一般皮肤,Normalize,ノーマルスキン,无论是什么属性的招式，全部会变为一般属性。威力会少量提高。,一般,,4,,"所有非一般屬性的招式的属性均变为一般屬性，且威力变为1.2倍。
觉醒力量、自然之恩、制裁光砾、高科技光炮、觉醒之舞和多属性攻击这些会改变属性的一般属性招式不受该特性的影响。
具有该特性的宝可梦进入输电状态或者受到等离子浴的影响后，使出的招式变为电屬性。
攻击招式的Ｚ招式不受此特性的影响。
变化招式被升级为Ｚ招式使出后，会受到该特性的影响变为一般屬性。具有此特性的一般屬性宝可梦使出的受此效果的攻击招式具有属性一致加成，并且能消耗一般宝石增加招式威力。",,,,,,,
88,下载,Download,ダウンロード,比较对手的防御和特防，根据较低的那项能力相应地提高自己的攻击或特攻。,建筑,,4,,"该特性的宝可梦出场时，对手防御小于特防时，自身攻击提升1级；对手防御大于或等于特防时，自身特攻提升1级。
在双打对战及三打对战时，用对方所有宝可梦的防御总和与特防总和来计算。
该特性会受到能力变化与力量戏法状态的影响。
该特性不会受到携带的道具、沙暴天气对岩石屬性的特防加成、影响能力但不影响能力变化的特性（例如神奇鳞片）以及奇妙空间状态的影响。",,,,,yes,,
80,不屈之心,Steadfast,ふくつのこころ,每次畏缩时，不屈之心就会燃起，速度也会提高。,格斗,,4,,该特性的宝可梦陷入畏缩状态后，速度提升1级。,,,,,,,
115,冰冻之躯,Ice Body,アイスボディ,下雪天气时，会缓缓回复ＨＰ。,冰,,4,,"天气处于冰雹或下雪状态时，每回合结束时回复最大ＨＰ的1⁄16。
不具有冰屬性的宝可梦获得该特性后不受冰雹天气的伤害。",,,,,,,
86,单纯,Simple,たんじゅん,能力变化会变为平时的２倍。,变化,yes,4,,"该特性的宝可梦上升或下降能力变化变为原来的两倍。
如果能力变化已经无法再提高或降低，尽管依然能使用改变能力的招式，但能力不会再改变。
该特性在生效时不会展示该特性。
通过接棒把能力变化传递给该特性的宝可梦时，能力变化不会加倍。
若使用自我暗示对对方的能力变化进行复制，能力变化不会加倍。
该特性对变化招式的Ｚ力量效果无效。例如在使用Ｚ重力时，特攻只会上升 1 级 。
该特性对极巨招式产生的变化效果有效。",,,,,,,
107,危险预知,Anticipation,きけんよち,可以察觉到对手拥有的危险招式。,格斗,,4,,"对战开始时，当对手拥有效果绝佳或一击必杀招式时会发出警告：<宝可梦的名字>发抖了！。
其中把制裁光砾、气象球、自然之恩、双倍奉还、金属爆炸、镜面反射、高科技光炮、多属性攻击、觉醒之舞、大地波动都视作游戏中显示的属性。
危险预知不把乱流下的属性相性计入。
冷冻干燥被视作冰屬性招式，对水屬性宝可梦造成的效果绝佳不考虑在内。
飞身重压被视作格斗屬性招式，飞行屬性的相性不考虑在内。",,,,,yes,,
102,叶子防守,Leaf Guard,リーフガード,晴朗天气时，不会变为异常状态。,草,yes,4,,"天气是大晴天和大日照时不会陷入异常状态。
無法治癒异常状态。",,,,,,,
116,坚硬岩石,Solid Rock,ハードロック,受到效果绝佳的攻击时，可以减弱其威力。,岩石,yes,4,,效果絕佳招式造成的伤害降低1⁄4。,,,,,,,
121,多属性,Multitype,マルチタイプ,自己的属性会根据持有的石板而改变。,一般,,4,,"宝可梦携带相应石板或Ｚ纯晶时改变属性。
拥有该特性的宝可梦在对战中不能获得或失去石板。",no,no,no,no,,no,
94,太阳之力,Solar Power,サンパワー,晴朗天气时，特攻会提高，而每回合ＨＰ会减少。,火,,4,,大晴天和大日照天气下特攻增至1.5倍，但每回合损失最大ＨＰ的1⁄8。,,,,,,,
119,察觉,Frisk,おみとおし,出场时，可以察觉对手的持有物。,幽灵,,4,,"该特性的宝可梦出场后，察觉全部对手携带的道具。如果对手没有携带物品，则不会出现任何提示。如果对手有携带物品，则会有一个提示出现：<宝可梦的名字>察觉到了<对手宝可梦的名字>的<道具名称>！如果对手不止一个，还会出现提示：连<对手宝可梦的名字>携带的<道具名称>也察觉到了！。
对手交换宝可梦后，不管交换上场的宝可梦有没有携带道具，特性均无法发动，",,,,,yes,,
87,干燥皮肤,Dry Skin,かんそうはだ,下雨天气时和受到水属性的招式时，ＨＰ会回复。晴朗天气时和受到火属性的招式时，ＨＰ会减少。,火,yes,4,,"具有该特性的宝可梦不受水屬性招式的影响，当被水属性的招式击中时，回复最大ＨＰ的1⁄4。
该特性只能确保自己不受水属性招式的伤害，不能吸引水属性招式。
可以抵御水属性的变化招式。包括通过其他方式变为水属性的变化招式。
对于连续招式，只会触发1次特性效果。
触发该特性时，与没有效果相同，不会触发招式的附加效果。
该特性的宝可梦无法触发自身携带的球根或光苔。
该特性的宝可梦进入守住状态无法通过被水属性招式击中回复ＨＰ。在下雨或大雨天气下，该特性的宝可梦每回合回复最大ＨＰ的1⁄8。
该特性的宝可梦受到火屬性招式攻击的话，会受到1.25倍的伤害。
在大晴天或大日照天气下，该特性的宝可梦每回合失去最大ＨＰ的1⁄8。",,,,,,,
114,引水,Storm Drain,よびみず,将水属性的招式引到自己身上，不会受到伤害，而是会提高特攻。,水,yes,4,当该特性的宝可梦配置在同行宝可梦首位时，能够提升野外遭遇水屬性宝可梦的概率。,"具有该特性的宝可梦不受水屬性招式的影响，当被水属性的招式击中时，提升1级特攻。
场上所有宝可梦（包括同伴宝可梦）的作用范围为单体选择的水属性招式将强制选择具有该特性的宝可梦为目标。若场上有多只宝可梦拥有此特性，将吸引到速度较高的那个。万众瞩目可以覆盖这个效果。螺旋尾鳍、坚毅、狙击可以无视这个效果。
可以抵御水属性的变化招式。包括通过其他方式变为水属性的变化招式。
对于连续招式，只会触发1次特性效果。
触发该特性时，与没有效果相同，不会触发招式的附加效果。
该特性的宝可梦无法触发自身携带的球根或光苔。
可以吸引同伴的极巨水流，即便极巨水流无法直接对同伴使用。",,,,,,,
106,引爆,Aftermath,ゆうばく,变为濒死时，会对接触到自己的对手造成伤害。,毒,,4,,"当拥有这个特性的宝可梦被接触类招式击倒时，发动攻击的宝可梦将损失最大ＨＰ的1⁄4。
若场上有湿气特性的宝可梦，引爆特性不发动。",,,,,,,
83,愤怒穴位,Anger Point,いかりのつぼ,要害被击中时，会大发雷霆，攻击力变为最大。,攻击,,4,,"当被击中要害时，攻击提升至+6阶级。
处于替身状态下的宝可梦，无法发动该特性。",,,,,,,
100,慢出,Stall,あとだし,使出招式的顺序必定会变为最后。,恶,,4,,"在其他宝可梦使用的招式的优先度与自身使用的招式的优先度相同的情况下，拥有该特性的宝可梦一定后使用招式。当多只宝可梦同时具有该特性时，优先度仍由速度低的先使用招式。
慢出特性在场上宝可梦携带有后攻之尾与饱腹薰香时无效。该特性的宝可梦携带了先制之爪或释陀果并触发时，慢出不影响其效果。
慢出特性的宝可梦与戏法空间同时在场，慢出特性的宝可梦仍最后使用招式。",,,,,,,
112,慢启动,Slow Start,スロースタート,在５回合内，攻击和速度减半。,一般,,4,,该特性的宝可梦上场的前五回合物理招式的伤害和速度能力减半。,,,,,yes,,
101,技术高手,Technician,テクニシャン,攻击时可以将低威力招式的威力提高。,工厂,,4,,"使用威力小于等于60的招式，威力提升原来的50%。只计算招式自身的效果对威力的影响，不计算道具、特性等其它任何的效果。
连续招式按单独每次攻击时威力判断是否触发该特性。
当雪崩的伤害因为受到对手的招式攻击而翻倍时，技术高手将不会生效。
当杂技的伤害因为没有携带物品而翻倍时，技术高手将不会生效。
当气象球的伤害因为天气而翻倍时，技术高手将不会生效。
当大地波动的伤害因为场地型状态而翻倍时，技术高手将不会生效。
当追打的伤害因为目标在本回合内准备替换下场而伤害翻倍，技术高手将不会生效。",,,,,,,
79,斗争心,Rivalry,とうそうしん,面对性别相同的对手，会燃起斗争心，变得更强。而面对性别不同的，则会变弱。,毒,,4,,对手与自身性别相同时，招式威力提升25%；性别不同时威力下降25%。双方只要有一方为性别不明时，招式威力不变，群体对战的群体伤害中，多性别仍然为同性威力提升25%，不同性别威力下降25%。,,,,,,,
99,无防守,No Guard,ノーガード,由于无防守战术，双方使出的招式都必定会击中。,命中,no,4,当该特性的宝可梦配置在同行宝可梦首位时，野生宝可梦出现机率增加50%。,"该特性宝可梦使用的招式与以该特性宝可梦为目标的招式都一定会命中，包括在飞翔、挖洞等情况的宝可梦都可以被击中，除非这只宝可梦因发号施令特性在吃吼霸的口中。
